datetime,temp,humidity,conditions
2025-07-20,30.2,85.5,"Rain, Partially cloudy"
2025-07-21,31.1,77.3,Partially cloudy
2025-07-22,32,77.6,"Rain, Partially cloudy"
2025-07-23,33.4,72.8,Partially cloudy
2025-07-24,31.9,80,"Rain, Partially cloudy"
2025-07-25,29.5,89.5,"Rain, Partially cloudy"
2025-07-26,29,88.7,"Rain, Partially cloudy"
2025-07-27,30.2,85.5,Partially cloudy
2025-07-28,27.7,97.2,"Rain, Overcast"
2025-07-29,28.2,95.2,"Rain, Overcast"
2025-07-30,29.5,92.4,"Rain, Partially cloudy"
2025-07-31,30.3,89.6,"Rain, Partially cloudy"
2025-08-01,30,87.7,"Rain, Partially cloudy"
2025-08-02,29,98.1,"Rain, Overcast"
2025-08-03,27.4,98.6,"Rain, Overcast"
2025-08-04,28.6,80.7,"Rain, Partially cloudy"
2025-08-05,29.6,72.2,Partially cloudy
